Year,"Agriculture, Fishing and Forestry",Consumable Product,Defence and Security,Direct Industrial product,Energy sources,"Engineering, Machinery and Equipment","Health, Finance and Education",Housing and Entertainment Services,Mining Product and Activities,Other industry and services,Technology and Communication Activities,Transport,Waste,Fossil CO2 Emissions (tons)
1995-01-01,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-02,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-03,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-04,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-05,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-06,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-07,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-08,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-09,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
1995-01-10,359.6493893193586,376.59448677833586,153.5509462524899,1197.997725678448,6250.669629973081,464.3055448435636,146.84662188864814,140.60658062905355,618.4997478880118,246.79668098945706,182.34037174985858,852.6061434025631,323.266921158101,23619144000.0
